frame,area_px
cam0_04-11_14-00(1).jpg,410879
cam0_04-11_15-00(2).jpg,4522259
cam0_04-11_16-00(3).jpg,918421
cam0_04-11_17-00(4).jpg,832398
cam0_04-11_18-00(5).jpg,887115
cam0_04-11_19-00(6).jpg,844450
cam0_04-11_20-00(7).jpg,857722
cam0_04-11_21-00(8).jpg,331204
cam0_04-11_22-00(9).jpg,884210
cam0_04-11_23-00(10).jpg,984778
cam0_04-12_00-00(11).jpg,1051764
cam0_04-12_01-00(12).jpg,1023547
cam0_04-12_02-00(13).jpg,1019679
cam0_04-12_03-00(14).jpg,1024916
cam0_04-12_04-00(15).jpg,1022944
cam0_04-12_05-00(16).jpg,1051405
cam0_04-12_06-00(17).jpg,1041678
cam0_04-12_07-00(18).jpg,1058259
cam0_04-12_08-00(19).jpg,1000777
cam0_04-12_09-00(20).jpg,1054600
cam0_04-12_10-00(21).jpg,1005961
cam0_04-12_11-00(22).jpg,1011729
cam0_04-12_12-00(23).jpg,887304
cam0_04-12_13-00(24).jpg,1375668
cam0_04-12_14-00(25).jpg,885215
cam0_04-12_15-00(26).jpg,888662
cam0_04-12_16-00(27).jpg,910288
cam0_04-12_17-00(28).jpg,1598930
cam0_04-12_18-00(29).jpg,1247282
cam0_04-12_19-00(30).jpg,1182256
cam0_04-12_20-00(31).jpg,1539326
cam0_04-12_21-00(32).jpg,1133498
cam0_04-12_22-00(33).jpg,1395515
cam0_04-12_23-00(34).jpg,1001418
cam0_04-13_00-00(35).jpg,1265693
cam0_04-13_01-00(36).jpg,1488575
cam0_04-13_02-00(37).jpg,1362726
cam0_04-13_03-00(38).jpg,1678668
cam0_04-13_04-00(39).jpg,1493441
cam0_04-13_05-00(40).jpg,952037
cam0_04-13_06-00(41).jpg,1652935
cam0_04-13_07-00(42).jpg,1654548
cam0_04-13_08-00(43).jpg,1617482
cam0_04-13_09-00(44).jpg,1355040
cam0_04-13_10-00(45).jpg,1343398
cam0_04-13_11-00(46).jpg,1280641
cam0_04-13_12-00(47).jpg,1440127
cam0_04-13_13-00(48).jpg,1421146
cam0_04-13_14-00(49).jpg,1457179
cam0_04-13_15-00(50).jpg,1473712
cam0_04-13_16-00(51).jpg,1536391
cam0_04-13_17-00(52).jpg,1250001
cam0_04-13_18-00(53).jpg,1529899
cam0_04-13_19-00(54).jpg,1045669
cam0_04-13_20-00(55).jpg,1193453
cam0_04-13_21-00(56).jpg,652757
cam0_04-13_22-00(57).jpg,951812
cam0_04-13_23-00(58).jpg,1163819
cam0_04-14_00-00(59).jpg,1104936
cam0_04-14_01-00(60).jpg,1113570
cam0_04-14_02-00(61).jpg,1032546
cam0_04-14_03-00(62).jpg,1227059
cam0_04-14_04-00(63).jpg,1223691
cam0_04-14_05-00(64).jpg,1288073
cam0_04-14_06-00(65).jpg,1329943
cam0_04-14_07-00(66).jpg,1356652
cam0_04-14_08-00(67).jpg,1229272
cam0_04-14_09-00(68).jpg,1056934
cam0_04-14_10-00(69).jpg,1116102
cam0_04-14_11-00(70).jpg,1194470
cam0_04-14_12-00(71).jpg,1199535
cam0_04-14_13-00(72).jpg,1225848
cam0_04-14_14-00(73).jpg,1440931
cam0_04-14_15-00(74).jpg,1386232
cam0_04-14_16-00(75).jpg,1331269
cam0_04-14_17-00(76).jpg,1401215
cam0_04-14_18-00(77).jpg,1439306
cam0_04-14_19-00(78).jpg,1343779
cam0_04-14_20-00(79).jpg,1366713
cam0_04-14_21-00(80).jpg,1505927
cam0_04-14_22-00(81).jpg,1422324
cam0_04-14_23-00(82).jpg,1485805
cam0_04-15_00-00(83).jpg,1404371
cam0_04-15_01-00(84).jpg,1496677
cam0_04-15_02-00(85).jpg,1530914
cam0_04-15_03-00(86).jpg,1341022
cam0_04-15_04-00(87).jpg,1447895
cam0_04-15_05-00(88).jpg,1499593
cam0_04-15_06-00(89).jpg,1501596
cam0_04-15_07-00(90).jpg,1339008
cam0_04-15_08-00(91).jpg,1554592
cam0_04-15_09-00(92).jpg,1582514
cam0_04-15_10-00(93).jpg,1356853
cam0_04-15_11-00(94).jpg,1715031
cam0_04-15_12-00(95).jpg,929550
cam0_04-15_13-00(96).jpg,899259
cam0_04-15_14-00(97).jpg,917087
cam0_04-15_15-00(98).jpg,957353
cam0_04-15_16-00(99).jpg,952382
cam0_04-15_17-00(100).jpg,978615
cam0_04-15_18-00(101).jpg,994409
cam0_04-15_19-00(102).jpg,933436
cam0_04-15_20-00(103).jpg,964885
cam0_04-15_21-00(104).jpg,982474
cam0_04-15_22-00(105).jpg,1007179
cam0_04-15_23-00(106).jpg,902931
cam0_04-16_00-00(107).jpg,1027646
cam0_04-16_01-00(108).jpg,1010048
cam0_04-16_02-00(109).jpg,1074586
cam0_04-16_03-00(110).jpg,1029260
cam0_04-16_04-00(111).jpg,1108484
cam0_04-16_05-00(112).jpg,1103642
cam0_04-16_06-00(113).jpg,1021261
cam0_04-16_07-00(114).jpg,1116980
cam0_04-16_08-00(115).jpg,1096552
cam0_04-16_09-00(116).jpg,1117213
cam0_04-16_10-00(117).jpg,1075561
cam0_04-16_11-00(118).jpg,1080387
cam0_04-16_12-00(119).jpg,1107278
cam0_04-16_13-00(120).jpg,1089250
cam0_04-16_14-00(121).jpg,1119109
cam0_04-16_15-00(122).jpg,1129582
cam0_04-16_16-00(123).jpg,1135170
cam0_04-16_17-00(124).jpg,1130818
cam0_04-16_18-00(125).jpg,1137988
cam0_04-16_19-00(126).jpg,1133229
cam0_04-16_20-00(127).jpg,1127102
cam0_04-16_21-00(128).jpg,1158537
cam0_04-16_22-00(129).jpg,697396
